mirna_accession,mirna_name,chr,start,end,strand
MIMAT0027404,hsa-miR-6752-5p,11,67257721,67257742,+
MIMAT0027405,hsa-miR-6752-3p,11,67257766,67257786,+
MIMAT0028123,hsa-miR-7113-5p,11,67800332,67800352,+
MIMAT0028124,hsa-miR-7113-3p,11,67800367,67800389,+
MIMAT0019781,hsa-miR-4691-5p,11,67801377,67801399,+
MIMAT0019782,hsa-miR-4691-3p,11,67801416,67801438,+
MIMAT0027406,hsa-miR-6753-5p,11,67812261,67812282,+
MIMAT0027407,hsa-miR-6753-3p,11,67812399,67812420,+
MIMAT0015038,hsa-miR-3164,11,68850653,68850674,+
MIMAT0005882,hsa-miR-548k,11,70130092,70130113,+
MIMAT0018086,hsa-miR-3664-5p,11,70718432,70718453,-
MIMAT0019220,hsa-miR-3664-3p,11,70718394,70718415,-
MIMAT0027408,hsa-miR-6754-5p,11,71184554,71184575,+
MIMAT0027409,hsa-miR-6754-3p,11,71184592,71184613,+
MIMAT0015039,hsa-miR-3165,11,71783318,71783339,-
MIMAT0000250,hsa-miR-139-5p,11,72326146,72326168,-
MIMAT0004552,hsa-miR-139-3p,11,72326110,72326132,-
MIMAT0019783,hsa-miR-4692,11,72494611,72494632,+
MIMAT0019024,hsa-miR-548al,11,74110346,74110367,+
MIMAT0019790,hsa-miR-4696,11,74431352,74431373,-
MIMAT0000756,hsa-miR-326,11,75046152,75046171,-
MIMAT0004926,hsa-miR-708-5p,11,79113121,79113143,-
MIMAT0004927,hsa-miR-708-3p,11,79113076,79113097,-
MIMAT0022269,hsa-miR-5579-5p,11,79133250,79133270,-
MIMAT0022270,hsa-miR-5579-3p,11,79133213,79133234,-
MIMAT0016853,hsa-miR-4300,11,81601793,81601810,-
MIMAT0027410,hsa-miR-6755-5p,11,85989380,85989401,+
MIMAT0027411,hsa-miR-6755-3p,11,85989419,85989440,+
MIMAT0015040,hsa-miR-3166,11,87909729,87909751,+
MIMAT0019025,hsa-miR-4490,11,90288953,90288974,-
MIMAT0005913,hsa-miR-1261,11,90602348,90602366,-
MIMAT0005892,hsa-miR-1304-5p,11,93466890,93466911,-
MIMAT0022720,hsa-miR-1304-3p,11,93466857,93466878,-
MIMAT0005889,hsa-miR-548l,11,94199711,94199732,-
MIMAT0015041,hsa-miR-1260b,11,96074611,96074629,+
MIMAT0018195,hsa-miR-3920,11,101390565,101390586,-
MIMAT0019784,hsa-miR-4693-5p,11,103720643,103720665,+
MIMAT0019785,hsa-miR-4693-3p,11,103720679,103720701,+
MIMAT0019026,hsa-miR-4491,11,111218527,111218548,+
MIMAT0000685,hsa-miR-34b-5p,11,111383675,111383697,+
MIMAT0004676,hsa-miR-34b-3p,11,111383712,111383733,+
MIMAT0000686,hsa-miR-34c-5p,11,111384176,111384198,+
MIMAT0004677,hsa-miR-34c-3p,11,111384209,111384230,+
MIMAT0016850,hsa-miR-4301,11,113320781,113320800,-
MIMAT0025844,hsa-miR-6716-5p,11,118514733,118514752,+
MIMAT0025845,hsa-miR-6716-3p,11,118514766,118514787,+
MIMAT0019027,hsa-miR-4492,11,118781474,118781490,+
MIMAT0027412,hsa-miR-6756-5p,11,119183695,119183717,-
MIMAT0027413,hsa-miR-6756-3p,11,119183660,119183679,-
MIMAT0000423,hsa-miR-125b-5p,11,121970517,121970538,-
MIMAT0004592,hsa-miR-125b-1-3p,11,121970477,121970498,-
MIMAT0000062,hsa-let-7a-5p,11,122017276,122017297,-
MIMAT0010195,hsa-let-7a-2-3p,11,122017231,122017252,-
MIMAT0041996,hsa-miR-10526-3p,11,122022811,122022830,-
MIMAT0000098,hsa-miR-100-5p,11,122022983,122023004,-
MIMAT0004512,hsa-miR-100-3p,11,122022948,122022969,-
MIMAT0019028,hsa-miR-4493,11,123252149,123252169,-
MIMAT0015042,hsa-miR-3167,11,126858364,126858385,-
MIMAT0023715,hsa-miR-6090,11,128392325,128392343,+
MIMAT0030979,hsa-miR-8052,11,130536640,130536661,+
MIMAT0019791,hsa-miR-4697-5p,11,133768446,133768467,-
MIMAT0019792,hsa-miR-4697-3p,11,133768401,133768424,-
MIMAT0018069,hsa-miR-3649,12,1769482,1769500,-
MIMAT0004657,hsa-miR-200c-5p,12,7072866,7072887,+
MIMAT0000617,hsa-miR-200c-3p,12,7072905,7072927,+
MIMAT0004598,hsa-miR-141-5p,12,7073276,7073297,+
MIMAT0000432,hsa-miR-141-3p,12,7073318,7073339,+
MIMAT0005896,hsa-miR-1244,12,9392068,9392093,-
MIMAT0005896,hsa-miR-1244,12,12264940,12264965,+
MIMAT0003281,hsa-miR-613,12,12917643,12917662,+
MIMAT0003282,hsa-miR-614,12,13068816,13068838,+
MIMAT0019359,hsa-miR-3974,12,17826242,17826264,+
MIMAT0004970,hsa-miR-920,12,24365405,24365424,+
MIMAT0016855,hsa-miR-4302,12,26026985,26027002,-
MIMAT0030426,hsa-miR-7851-3p,12,42717542,42717563,-
MIMAT0019793,hsa-miR-4698,12,47581643,47581665,+
MIMAT0019029,hsa-miR-4494,12,47757980,47758001,-
MIMAT0025466,hsa-miR-6505-5p,12,48526583,48526604,+
MIMAT0025467,hsa-miR-6505-3p,12,48526630,48526650,+
MIMAT0005881,hsa-miR-1291,12,49048277,49048300,-
MIMAT0019798,hsa-miR-4701-5p,12,49165797,49165818,-
MIMAT0019799,hsa-miR-4701-3p,12,49165763,49165782,-
MIMAT0005883,hsa-miR-1293,12,50627965,50627986,-
MIMAT0039318,hsa-miR-9898,12,53292687,53292708,-
MIMAT0027414,hsa-miR-6757-5p,12,53450733,53450754,+
MIMAT0027415,hsa-miR-6757-3p,12,53450774,53450795,+
MIMAT0000226,hsa-miR-196a-5p,12,54385546,54385567,+
MIMAT0004562,hsa-miR-196a-3p,12,54385583,54385604,+
MIMAT0004804,hsa-miR-615-5p,12,54427751,54427772,+
MIMAT0003283,hsa-miR-615-3p,12,54427794,54427815,+
MIMAT0015083,hsa-miR-3198,12,54625191,54625212,-
MIMAT0004699,hsa-miR-148b-5p,12,54731024,54731045,+
MIMAT0000759,hsa-miR-148b-3p,12,54731062,54731083,+
MIMAT0005582,hsa-miR-1228-5p,12,57588287,57588307,+
MIMAT0005583,hsa-miR-1228-3p,12,57588338,57588357,+
MIMAT0027416,hsa-miR-6758-5p,12,57906476,57906498,+
MIMAT0027417,hsa-miR-6758-3p,12,57906514,57906533,+
MIMAT0003284,hsa-miR-616-5p,12,57913006,57913027,-
MIMAT0004805,hsa-miR-616-3p,12,57912966,57912987,-
MIMAT0027418,hsa-miR-6759-5p,12,58142439,58142460,-
MIMAT0027419,hsa-miR-6759-3p,12,58142401,58142422,-
MIMAT0000082,hsa-miR-26a-5p,12,58218441,58218462,-
MIMAT0004681,hsa-miR-26a-2-3p,12,58218403,58218424,-
MIMAT0024598,hsa-miR-6125,12,62654199,62654218,+
MIMAT0000415,hsa-let-7i-5p,12,62997471,62997492,+
MIMAT0004585,hsa-let-7i-3p,12,62997527,62997548,+
MIMAT0041997,hsa-miR-10527-5p,12,64217443,64217465,+
MIMAT0004806,hsa-miR-548c-5p,12,65016313,65016334,+
MIMAT0003285,hsa-miR-548c-3p,12,65016349,65016370,+
MIMAT0018446,hsa-miR-548z,12,65016310,65016332,-
MIMAT0023699,hsa-miR-6074,12,66417430,66417449,-
MIMAT0025460,hsa-miR-6502-5p,12,66644871,66644892,+
MIMAT0025461,hsa-miR-6502-3p,12,66644908,66644928,+
MIMAT0005937,hsa-miR-1279,12,69666968,69666984,-
MIMAT0018187,hsa-miR-3913-5p,12,69978560,69978581,-
MIMAT0019225,hsa-miR-3913-3p,12,69978524,69978545,-
MIMAT0018187,hsa-miR-3913-5p,12,69978524,69978545,+
MIMAT0019225,hsa-miR-3913-3p,12,69978560,69978581,+
MIMAT0005944,hsa-miR-1252-5p,12,79813041,79813062,+
MIMAT0026744,hsa-miR-1252-3p,12,79813076,79813097,+
MIMAT0003286,hsa-miR-617,12,81226372,81226393,-
MIMAT0003287,hsa-miR-618,12,81329575,81329597,-
MIMAT0019794,hsa-miR-4699-5p,12,81552176,81552197,+
MIMAT0019795,hsa-miR-4699-3p,12,81552212,81552233,+
MIMAT0048633,hsa-miR-3059-5p,12,87138890,87138913,-
MIMAT0048634,hsa-miR-3059-3p,12,87138856,87138877,-
MIMAT0022493,hsa-miR-5700,12,94955570,94955591,+
MIMAT0030419,hsa-miR-7844-5p,12,94965082,94965103,-
MIMAT0002812,hsa-miR-492,12,95228203,95228225,+
MIMAT0004700,hsa-miR-331-5p,12,95702221,95702242,+
MIMAT0000760,hsa-miR-331-3p,12,95702256,95702276,+
MIMAT0018113,hsa-miR-3685,12,95703704,95703725,+
MIMAT0005903,hsa-miR-1251-5p,12,97885691,97885711,+
MIMAT0026741,hsa-miR-1251-3p,12,97885729,97885749,+
MIMAT0000428,hsa-miR-135a-5p,12,97957612,97957634,+
MIMAT0037309,hsa-miR-135a-2-3p,12,97957650,97957671,+
MIMAT0019030,hsa-miR-4495,12,98332875,98332895,-
MIMAT0016856,hsa-miR-4303,12,98389200,98389216,-
MIMAT0006767,hsa-miR-1827,12,100583710,100583727,+
MIMAT0018072,hsa-miR-3652,12,104324203,104324220,+
MIMAT0018197,hsa-miR-3922-3p,12,104985472,104985493,+
MIMAT0019227,hsa-miR-3922-5p,12,104985423,104985445,+
MIMAT0019031,hsa-miR-4496,12,109029625,109029646,+
MIMAT0003288,hsa-miR-619-3p,12,109230699,109230722,-
MIMAT0026622,hsa-miR-619-5p,12,109230738,109230759,-
MIMAT0019032,hsa-miR-4497,12,110271155,110271171,+
MIMAT0027420,hsa-miR-6760-5p,12,111741951,111741973,+
MIMAT0027421,hsa-miR-6760-3p,12,111741993,111742013,+
MIMAT0027422,hsa-miR-6761-5p,12,112237643,112237663,+
MIMAT0027423,hsa-miR-6761-3p,12,112237686,112237707,+
MIMAT0018077,hsa-miR-3657,12,112475431,112475451,-
MIMAT0027623,hsa-miR-6861-5p,12,112601099,112601120,-
MIMAT0027624,hsa-miR-6861-3p,12,112601069,112601086,-
MIMAT0005890,hsa-miR-1302,12,113132887,113132907,-
MIMAT0028109,hsa-miR-7106-5p,12,113596958,113596977,-
MIMAT0028110,hsa-miR-7106-3p,12,113596918,113596940,-
MIMAT0027424,hsa-miR-6762-5p,12,113729333,113729355,+
MIMAT0027425,hsa-miR-6762-3p,12,113729391,113729413,+
MIMAT0003289,hsa-miR-620,12,116586380,116586399,-
MIMAT0018999,hsa-miR-4472,12,116866099,116866116,-
MIMAT0005823,hsa-miR-1178-3p,12,120151454,120151474,-
MIMAT0022940,hsa-miR-1178-5p,12,120151483,120151500,-
MIMAT0019033,hsa-miR-4498,12,120593277,120593298,-
MIMAT0019796,hsa-miR-4700-5p,12,121161005,121161026,+
MIMAT0019797,hsa-miR-4700-3p,12,121161036,121161061,+
MIMAT0028111,hsa-miR-7107-5p,12,121882129,121882150,-
MIMAT0028112,hsa-miR-7107-3p,12,121882082,121882108,-
MIMAT0039322,hsa-miR-9902,12,123180511,123180532,-
MIMAT0039322,hsa-miR-9902,12,123193936,123193957,-
MIMAT0016854,hsa-miR-4304,12,123495249,123495265,-
MIMAT0030999,hsa-miR-8072,12,123849361,123849380,-
MIMAT0018182,hsa-miR-3908,12,124020960,124020981,+
MIMAT0027660,hsa-miR-6880-5p,12,124821762,124821783,-
MIMAT0027661,hsa-miR-6880-3p,12,124821727,124821747,-
MIMAT0021119,hsa-miR-5188,12,125400156,125400178,+
MIMAT0017989,hsa-miR-3612,12,128778650,128778671,+
MIMAT0027426,hsa-miR-6763-5p,12,133158588,133158606,+
MIMAT0027427,hsa-miR-6763-3p,12,133158627,133158647,+
MIMAT0019035,hsa-miR-4499,13,21007969,21007985,-
MIMAT0011775,hsa-miR-2276-3p,13,24736608,24736629,+
MIMAT0026921,hsa-miR-2276-5p,13,24736570,24736591,+
MIMAT0016857,hsa-miR-4305,13,40238245,40238262,-
MIMAT0006764,hsa-miR-320d,13,41301964,41301982,-
MIMAT0003290,hsa-miR-621,13,41384962,41384982,+
MIMAT0015043,hsa-miR-3168,13,41675212,41675228,-
MIMAT0021033,hsa-miR-5006-5p,13,42142491,42142511,-
MIMAT0021034,hsa-miR-5006-3p,13,42142442,42142462,-
MIMAT0031006,hsa-miR-8079,13,44770307,44770326,-
MIMAT0017990,hsa-miR-3613-5p,13,50570601,50570622,-
MIMAT0017991,hsa-miR-3613-3p,13,50570562,50570585,-
MIMAT0000069,hsa-miR-16-5p,13,50623163,50623184,-
MIMAT0004489,hsa-miR-16-1-3p,13,50623121,50623142,-
MIMAT0000068,hsa-miR-15a-5p,13,50623303,50623324,-
MIMAT0004488,hsa-miR-15a-3p,13,50623266,50623287,-
MIMAT0022486,hsa-miR-5693,13,51922712,51922733,-
MIMAT0019801,hsa-miR-4703-5p,13,52126735,52126757,+
MIMAT0019802,hsa-miR-4703-3p,13,52126773,52126794,+
MIMAT0010497,hsa-miR-759,13,53384208,53384229,+
MIMAT0005886,hsa-miR-1297,13,54886116,54886132,-
MIMAT0021035,hsa-miR-5007-5p,13,55748609,55748630,+
MIMAT0021036,hsa-miR-5007-3p,13,55748644,55748665,+
MIMAT0015044,hsa-miR-3169,13,61773982,61774003,-
MIMAT0015081,hsa-miR-548x-3p,13,66540484,66540503,-
MIMAT0019803,hsa-miR-4704-5p,13,66792391,66792412,+
MIMAT0019804,hsa-miR-4704-3p,13,66792428,66792449,+
MIMAT0018087,hsa-miR-3665,13,78272210,78272227,-
MIMAT0019036,hsa-miR-4500,13,88270926,88270942,-
MIMAT0003291,hsa-miR-622,13,90883496,90883516,+
MIMAT0000070,hsa-miR-17-5p,13,92002872,92002894,+
MIMAT0000071,hsa-miR-17-3p,13,92002909,92002930,+
MIMAT0000072,hsa-miR-18a-5p,13,92003010,92003032,+
MIMAT0002891,hsa-miR-18a-3p,13,92003051,92003073,+
MIMAT0004490,hsa-miR-19a-5p,13,92003158,92003179,+
MIMAT0000073,hsa-miR-19a-3p,13,92003193,92003215,+
MIMAT0000075,hsa-miR-20a-5p,13,92003326,92003348,+
MIMAT0004493,hsa-miR-20a-3p,13,92003362,92003383,+
MIMAT0004491,hsa-miR-19b-1-5p,13,92003461,92003483,+
MIMAT0000074,hsa-miR-19b-3p,13,92003499,92003521,+
MIMAT0004507,hsa-miR-92a-1-5p,13,92003578,92003600,+
MIMAT0000092,hsa-miR-92a-3p,13,92003615,92003636,+
MIMAT0022267,hsa-miR-548as-5p,13,93142416,93142437,+
MIMAT0022268,hsa-miR-548as-3p,13,93142452,93142473,+
MIMAT0019037,hsa-miR-4501,13,97079483,97079503,+
MIMAT0015045,hsa-miR-3170,13,98860787,98860808,+
MIMAT0003292,hsa-miR-623,13,100008400,100008422,+
MIMAT0016858,hsa-miR-4306,13,100295377,100295393,+
MIMAT0013515,hsa-miR-2681-5p,13,102620054,102620075,-
MIMAT0013516,hsa-miR-2681-3p,13,102620015,102620036,-
MIMAT0019805,hsa-miR-4705,13,102698324,102698345,-
MIMAT0005921,hsa-miR-1267,13,108183565,108183585,-
MIMAT0031000,hsa-miR-8073,13,110993315,110993336,+
MIMAT0031002,hsa-miR-8075,13,113917280,113917303,+
MIMAT0022265,hsa-miR-548ar-5p,13,115009980,115010000,+
MIMAT0022266,hsa-miR-548ar-3p,13,115010016,115010036,+
MIMAT0019038,hsa-miR-4502,13,115039360,115039381,+
MIMAT0025846,hsa-miR-6717-5p,14,21491514,21491535,-
MIMAT0019807,hsa-miR-4707-5p,14,23426207,23426229,-
MIMAT0019808,hsa-miR-4707-3p,14,23426166,23426187,-
MIMAT0000241,hsa-miR-208a-3p,14,23857811,23857832,-
MIMAT0026474,hsa-miR-208a-5p,14,23857846,23857867,-
MIMAT0004960,hsa-miR-208b-3p,14,23887206,23887227,-
MIMAT0026722,hsa-miR-208b-5p,14,23887241,23887262,-
MIMAT0030018,hsa-miR-7703,14,24612698,24612720,-
MIMAT0016860,hsa-miR-4307,14,27377903,27377921,+
MIMAT0015046,hsa-miR-3171,14,28102452,28102475,-
MIMAT0003293,hsa-miR-624-5p,14,31483912,31483933,-
MIMAT0004807,hsa-miR-624-3p,14,31483875,31483895,-
MIMAT0019039,hsa-miR-4503,14,37421563,37421584,-
MIMAT0018354,hsa-miR-548y,14,48230264,48230285,-
MIMAT0023701,hsa-miR-6076,14,50433117,50433137,+
MIMAT0019040,hsa-miR-4504,14,50766589,50766610,-
MIMAT0022273,hsa-miR-5580-5p,14,54415181,54415202,-
MIMAT0022274,hsa-miR-5580-3p,14,54415145,54415166,-
MIMAT0016861,hsa-miR-4308,14,55344841,55344858,-
MIMAT0022287,hsa-miR-5586-5p,14,60113717,60113738,-
MIMAT0022288,hsa-miR-5586-3p,14,60113680,60113701,-
MIMAT0039310,hsa-miR-9718,14,61115399,61115418,+
MIMAT0005928,hsa-miR-548h-5p,14,64561802,64561823,-
MIMAT0030430,hsa-miR-7855-5p,14,65252381,65252402,-
MIMAT0019806,hsa-miR-4706,14,65511415,65511439,+
MIMAT0019809,hsa-miR-4708-5p,14,65801873,65801893,-
MIMAT0019810,hsa-miR-4708-3p,14,65801841,65801862,-
MIMAT0003294,hsa-miR-625-5p,14,65937834,65937854,+
MIMAT0004808,hsa-miR-625-3p,14,65937871,65937892,+
MIMAT0022487,hsa-miR-5694,14,67908619,67908639,-
MIMAT0030411,hsa-miR-7843-5p,14,72983539,72983560,+
MIMAT0030412,hsa-miR-7843-3p,14,72983574,72983595,+
MIMAT0019041,hsa-miR-4505,14,74225452,74225469,+
MIMAT0019811,hsa-miR-4709-5p,14,74946878,74946899,-
MIMAT0019812,hsa-miR-4709-3p,14,74946838,74946860,-
MIMAT0005911,hsa-miR-1260a,14,77732574,77732591,+
MIMAT0019042,hsa-miR-4506,14,94414579,94414598,-
MIMAT0015048,hsa-miR-3173-3p,14,95604260,95604281,-
MIMAT0019214,hsa-miR-3173-5p,14,95604298,95604319,-
MIMAT0010214,hsa-miR-151b,14,100575775,100575792,-
MIMAT0004694,hsa-miR-342-5p,14,100576010,100576030,+
MIMAT0000753,hsa-miR-342-3p,14,100576052,100576074,+
MIMAT0027428,hsa-miR-6764-5p,14,100743699,100743720,+
MIMAT0027429,hsa-miR-6764-3p,14,100743734,100743754,+
MIMAT0000772,hsa-miR-345-5p,14,100774213,100774234,+
MIMAT0022698,hsa-miR-345-3p,14,100774249,100774270,+
MIMAT0019043,hsa-miR-2392,14,101280888,101280907,+
MIMAT0003948,hsa-miR-770-5p,14,101318746,101318768,+
MIMAT0002813,hsa-miR-493-5p,14,101335412,101335433,+
MIMAT0003161,hsa-miR-493-3p,14,101335453,101335474,+
MIMAT0004695,hsa-miR-337-5p,14,101340852,101340872,+
MIMAT0000754,hsa-miR-337-3p,14,101340890,101340911,+
MIMAT0004952,hsa-miR-665,14,101341412,101341431,+
MIMAT0001625,hsa-miR-431-5p,14,101347363,101347383,+
MIMAT0004757,hsa-miR-431-3p,14,101347406,101347427,+
MIMAT0001627,hsa-miR-433-3p,14,101348286,101348307,+
MIMAT0026554,hsa-miR-433-5p,14,101348234,101348255,+
MIMAT0004604,hsa-miR-127-5p,14,101349338,101349359,+
MIMAT0000446,hsa-miR-127-3p,14,101349372,101349393,+
MIMAT0002814,hsa-miR-432-5p,14,101350833,101350855,+
MIMAT0002815,hsa-miR-432-3p,14,101350881,101350901,+
MIMAT0000448,hsa-miR-136-5p,14,101351053,101351075,+
MIMAT0004606,hsa-miR-136-3p,14,101351087,101351108,+
MIMAT0000722,hsa-miR-370-3p,14,101377523,101377544,+
MIMAT0026483,hsa-miR-370-5p,14,101377488,101377509,+
MIMAT0000733,hsa-miR-379-5p,14,101488408,101488428,+
MIMAT0004690,hsa-miR-379-3p,14,101488446,101488467,+
MIMAT0003329,hsa-miR-411-5p,14,101489677,101489697,+
MIMAT0004813,hsa-miR-411-3p,14,101489712,101489733,+
MIMAT0002890,hsa-miR-299-5p,14,101490137,101490158,+
MIMAT0000687,hsa-miR-299-3p,14,101490169,101490190,+
MIMAT0000734,hsa-miR-380-5p,14,101491358,101491379,+
MIMAT0000735,hsa-miR-380-3p,14,101491393,101491414,+
MIMAT0005955,hsa-miR-1197,14,101491957,101491977,+
MIMAT0004696,hsa-miR-323a-5p,14,101492084,101492105,+
MIMAT0000755,hsa-miR-323a-3p,14,101492119,101492139,+
MIMAT0003879,hsa-miR-758-3p,14,101492408,101492429,+
MIMAT0022929,hsa-miR-758-5p,14,101492371,101492392,+
MIMAT0001629,hsa-miR-329-3p,14,101493171,101493192,+
MIMAT0026555,hsa-miR-329-5p,14,101493134,101493156,+
MIMAT0001629,hsa-miR-329-3p,14,101493488,101493509,+
MIMAT0026555,hsa-miR-329-5p,14,101493451,101493473,+
MIMAT0002816,hsa-miR-494-3p,14,101496018,101496039,+
MIMAT0026607,hsa-miR-494-5p,14,101495985,101496007,+
MIMAT0015049,hsa-miR-1193,14,101496398,101496420,+
MIMAT0004954,hsa-miR-543,14,101498370,101498391,+
MIMAT0002817,hsa-miR-495-3p,14,101500141,101500162,+
MIMAT0022924,hsa-miR-495-5p,14,101500105,101500126,+
MIMAT0000720,hsa-miR-376c-3p,14,101506069,101506089,+
MIMAT0022861,hsa-miR-376c-5p,14,101506031,101506051,+
MIMAT0000729,hsa-miR-376a-3p,14,101506455,101506475,+
MIMAT0022928,hsa-miR-376a-2-5p,14,101506417,101506437,+
MIMAT0003330,hsa-miR-654-5p,14,101506571,101506592,+
MIMAT0004814,hsa-miR-654-3p,14,101506606,101506627,+
MIMAT0002172,hsa-miR-376b-3p,14,101506834,101506855,+
MIMAT0022923,hsa-miR-376b-5p,14,101506796,101506817,+
MIMAT0003386,hsa-miR-376a-5p,14,101507125,101507146,+
MIMAT0000729,hsa-miR-376a-3p,14,101507162,101507182,+
MIMAT0004903,hsa-miR-300,14,101507751,101507772,+
MIMAT0005798,hsa-miR-1185-5p,14,101509328,101509348,+
MIMAT0022838,hsa-miR-1185-1-3p,14,101509366,101509387,+
MIMAT0005798,hsa-miR-1185-5p,14,101510549,101510569,+
MIMAT0022713,hsa-miR-1185-2-3p,14,101510587,101510608,+
MIMAT0000736,hsa-miR-381-3p,14,101512305,101512326,+
MIMAT0022862,hsa-miR-381-5p,14,101512264,101512285,+
MIMAT0003180,hsa-miR-487b-3p,14,101512842,101512863,+
MIMAT0026614,hsa-miR-487b-5p,14,101512806,101512827,+
MIMAT0003163,hsa-miR-539-5p,14,101513666,101513687,+
MIMAT0022705,hsa-miR-539-3p,14,101513706,101513727,+
MIMAT0004921,hsa-miR-889-3p,14,101514286,101514306,+
MIMAT0026719,hsa-miR-889-5p,14,101514248,101514269,+
MIMAT0003164,hsa-miR-544a,14,101515049,101515070,+
MIMAT0003331,hsa-miR-655-3p,14,101515947,101515968,+
MIMAT0026626,hsa-miR-655-5p,14,101515909,101515930,+
MIMAT0002178,hsa-miR-487a-3p,14,101518831,101518852,+
MIMAT0026559,hsa-miR-487a-5p,14,101518795,101518816,+
MIMAT0000737,hsa-miR-382-5p,14,101520653,101520674,+
MIMAT0022697,hsa-miR-382-3p,14,101520689,101520709,+
MIMAT0000447,hsa-miR-134-5p,14,101521031,101521052,+
MIMAT0026481,hsa-miR-134-3p,14,101521069,101521091,+
MIMAT0003881,hsa-miR-668-3p,14,101521637,101521659,+
MIMAT0026636,hsa-miR-668-5p,14,101521601,101521619,+
MIMAT0002175,hsa-miR-485-5p,14,101521764,101521785,+
MIMAT0002176,hsa-miR-485-3p,14,101521801,101521822,+
MIMAT0001630,hsa-miR-323b-5p,14,101522570,101522592,+
MIMAT0015050,hsa-miR-323b-3p,14,101522606,101522627,+
MIMAT0000452,hsa-miR-154-5p,14,101526106,101526127,+
MIMAT0000453,hsa-miR-154-3p,14,101526142,101526163,+
MIMAT0002818,hsa-miR-496,14,101526965,101526986,+
MIMAT0004689,hsa-miR-377-5p,14,101528393,101528414,+
MIMAT0000730,hsa-miR-377-3p,14,101528431,101528452,+
MIMAT0004919,hsa-miR-541-5p,14,101530841,101530865,+
MIMAT0004920,hsa-miR-541-3p,14,101530885,101530906,+
MIMAT0001638,hsa-miR-409-5p,14,101531651,101531673,+
MIMAT0001639,hsa-miR-409-3p,14,101531683,101531704,+
MIMAT0002170,hsa-miR-412-3p,14,101531837,101531859,+
MIMAT0026557,hsa-miR-412-5p,14,101531802,101531824,+
MIMAT0001621,hsa-miR-369-5p,14,101531943,101531964,+
MIMAT0000721,hsa-miR-369-3p,14,101531978,101531998,+
MIMAT0002171,hsa-miR-410-3p,14,101532298,101532318,+
MIMAT0026558,hsa-miR-410-5p,14,101532262,101532282,+
MIMAT0003332,hsa-miR-656-3p,14,101533103,101533123,+
MIMAT0026627,hsa-miR-656-5p,14,101533068,101533088,+
MIMAT0005899,hsa-miR-1247-5p,14,102026699,102026720,-
MIMAT0022721,hsa-miR-1247-3p,14,102026663,102026686,-
MIMAT0016859,hsa-miR-4309,14,103005991,103006008,+
MIMAT0000264,hsa-miR-203a-3p,14,104583806,104583827,+
MIMAT0031890,hsa-miR-203a-5p,14,104583768,104583792,+
MIMAT0019813,hsa-miR-203b-5p,14,104583805,104583826,-
MIMAT0019814,hsa-miR-203b-3p,14,104583765,104583787,-
MIMAT0019815,hsa-miR-4710,14,105144060,105144077,-
MIMAT0049015,hsa-miR-12121,14,105331666,105331686,+
MIMAT0027430,hsa-miR-6765-5p,14,105617177,105617201,-
MIMAT0027431,hsa-miR-6765-3p,14,105617115,105617135,-
MIMAT0030998,hsa-miR-8071,14,106087488,106087507,+
MIMAT0030998,hsa-miR-8071,14,106106540,106106559,+
MIMAT0019082,hsa-miR-4539,14,106323682,106323703,-
MIMAT0019044,hsa-miR-4507,14,106324294,106324313,-
MIMAT0019081,hsa-miR-4538,14,106324390,106324411,-
MIMAT0019080,hsa-miR-4537,14,106325701,106325722,-
MIMAT0021126,hsa-miR-5195-5p,14,107259158,107259179,-
MIMAT0021127,hsa-miR-5195-3p,14,107259125,107259145,-
MIMAT0014980,hsa-miR-3118,15,21038167,21038189,+
MIMAT0022494,hsa-miR-5701,15,21145590,21145608,+
MIMAT0014980,hsa-miR-3118,15,22049317,22049339,+
MIMAT0022494,hsa-miR-5701,15,22156775,22156793,+
MIMAT0014980,hsa-miR-3118,15,22049317,22049339,+
MIMAT0022494,hsa-miR-5701,15,22156775,22156793,+
MIMAT0005922,hsa-miR-1268a,15,22513259,22513276,-
MIMAT0019046,hsa-miR-4509,15,22675203,22675224,-
MIMAT0019045,hsa-miR-4508,15,23807254,23807270,-
MIMAT0019824,hsa-miR-4715-5p,15,26093942,26093963,-
MIMAT0019825,hsa-miR-4715-3p,15,26093905,26093927,-
MIMAT0019046,hsa-miR-4509,15,28671654,28671675,+
MIMAT0019046,hsa-miR-4509,15,28735953,28735974,-
MIMAT0000268,hsa-miR-211-5p,15,31357298,31357319,-
MIMAT0022694,hsa-miR-211-3p,15,31357262,31357282,-
MIMAT0005588,hsa-miR-1233-3p,15,34674270,34674289,-
MIMAT0022943,hsa-miR-1233-5p,15,34674327,34674348,-
MIMAT0005588,hsa-miR-1233-3p,15,34820491,34820510,-
MIMAT0022943,hsa-miR-1233-5p,15,34820548,34820569,-
MIMAT0018358,hsa-miR-3942-5p,15,35664522,35664543,-
MIMAT0019230,hsa-miR-3942-3p,15,35664481,35664501,-
MIMAT0019047,hsa-miR-4510,15,36219064,36219085,+
MIMAT0030990,hsa-miR-8063,15,37265032,37265053,-
MIMAT0003295,hsa-miR-626,15,41983843,41983861,+
MIMAT0016862,hsa-miR-4310,15,42158703,42158718,-
MIMAT0003296,hsa-miR-627-5p,15,42491828,42491849,-
MIMAT0026623,hsa-miR-627-3p,15,42491791,42491810,-
MIMAT0005940,hsa-miR-1282,15,44085930,44085949,-
